SentID	Original_file	AFINN	Modals	# of modals	Pos	Neg	Has Negation	Sentence
24	n	0	{}	0	"[['comedy', 1]]"	"[['farce', -1]]"	FALSE	"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films . "
25	n	0.62554	"{'will': 1, 'might': 1}"	2	"[['exciting', 3]]"	[]	FALSE	"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . "
26	n	0	{}	0	[]	[]	FALSE	the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville . 
27	n	-0.71842	{}	0	[]	"[['jackass', -4]]"	FALSE	our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender — and i know this because i've seen 'jackass : the movie . '
28	n	-1.73205	{}	0	"[['easy', 1]]"	"[['criticism', -2], ['cynical', -2], ['bankrupt', -3]]"	FALSE	"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . . "
29	n	0	{}	0	"[['loving', 2], ['like', 2]]"	"[['excuse', -1], ['killing', -3]]"	FALSE	"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here . "
30	n	0	{}	0	"[['top', 2]]"	"[['stupid', -2]]"	FALSE	"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep . "
31	n	0	{}	0	[]	[]	TRUE	"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates . "
32	n	0	{}	0	[]	[]	FALSE	the action clichés just pile up . 
33	n	0	{}	0	[]	[]	TRUE	"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast . "
34	n	0.19245	{}	0	"[['agreed', 1]]"	[]	FALSE	the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . 
35	n	-0.60302	{}	0	[]	"[['useless', -2]]"	FALSE	another useless recycling of a brutal mid-'70s american sports movie . 
36	n	1.58114	{}	0	"[['laugh', 1], ['smile', 2], ['survived', 2]]"	[]	TRUE	i didn't laugh . i didn't smile . i survived . 
37	n	0	{}	0	"[['please', 1]]"	"[['stop', -1]]"	FALSE	"please , someone , stop eric schaeffer before he makes another film . "
38	n	-0.40825	{}	0	[]	"[['problems', -2]]"	TRUE	"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved"
39	n	0.4264	{'might': 1}	1	"[['fun', 4], ['want', 1]]"	"[['bad', -3]]"	TRUE	" . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee . "
40	n	0	{'may': 1}	1	[]	[]	TRUE	curling may be a unique sport but men with brooms is distinctly ordinary . 
41	n	-0.2132	{}	0	[]	"[['unsure', -1]]"	FALSE	"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set . "
42	n	-0.75	{}	0	[]	"[['no', -1], ['revenge', -2]]"	FALSE	there's no getting around the fact that this is revenge of the nerds revisited -- again . 
43	n	0.89443	{}	0	"[['sincere', 2], ['honest', 2]]"	[]	TRUE	"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable . "
44	n	0	{}	0	[]	[]	FALSE	"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in . "
45	n	0.87039	{}	0	"[['care', 2], ['wins', 4]]"	"[['excuse', -1]]"	FALSE	"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins . "
46	n	0.28868	{}	0	"[['like', 2]]"	"[['gloom', -1]]"	FALSE	"stinks from start to finish , like a wet burlap sack of gloom . "
47	n	1.14708	{}	0	"[['like', 2], ['amusement', 3]]"	[]	FALSE	"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement . "
48	n	-0.44721	{'could': 1}	1	[]	"[['totalitarian', -2]]"	FALSE	equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . 
49	n	-1	{}	0	[]	"[['lack', -2], ['forced', -1], ['pity', -2]]"	FALSE	the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . 
50	n	0	{}	0	[]	[]	FALSE	everything is off . 
51	n	-0.43644	{}	0	[]	"[['prison', -2]]"	FALSE	"when seagal appeared in an orange prison jumpsuit , i wanted to stand up in the theater and shout , 'hey , kool-aid ! '"
52	n	-0.28868	{}	0	"[['easy', 1]]"	"[['annoying', -2]]"	FALSE	"an easy watch , except for the annoying demeanour of its lead character . "
53	n	1.69775	{}	0	"[['love', 3], ['romance', 2], ['novel', 2]]"	[]	FALSE	"imagine the cleanflicks version of 'love story , ' with ali macgraw's profanities replaced by romance-novel platitudes . "
54	n	-0.5	{}	0	[]	"[['suffers', -2]]"	FALSE	"pc stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion . "
55	n	-1.20605	{}	0	[]	"[['forget', -1], ['misleading', -3]]"	FALSE	"forget the misleading title , what's with the unexplained baboon cameo ? "
56	n	-0.37796	{}	0	"[['comedy', 1]]"	"[['odd', -2]]"	FALSE	"an odd , haphazard , and inconsequential romantic comedy . "
57	n	2.01246	{'will': 2}	1	"[['funny', 4], ['humor', 2], ['best', 3]]"	[]	FALSE	"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere . "
58	n	0	{}	0	[]	[]	FALSE	"pascale bailly's rom-com provides amélie's audrey tautou with another fabuleux destin -- i . e . , a banal spiritual quest . "
59	n	0	{}	0	[]	[]	FALSE	"a static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes . "
60	n	0.5164	{}	0	"[['worth', 2]]"	[]	FALSE	"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost . "
61	n	-1.73205	{}	0	[]	"[['empty', -1], ['sick', -2], ['evil', -3]]"	FALSE	 . . . a pretentious and ultimately empty examination of a sick and evil woman . 
62	n	0	{'will': 2}	1	"[['amuse', 3]]"	"[['no', -1], ['upset', -2]]"	FALSE	"the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either . "
63	n	-0.79057	{}	0	"[['like', 2]]"	"[['trapped', -2], ['weird', -2], ['desperate', -3]]"	FALSE	"the cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge . before long , you're desperate for the evening to end . "
64	n	0.68825	{}	0	"[['true', 2], ['reach', 1]]"	[]	FALSE	the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach . 
65	n	0	{}	0	"[['infatuated', 2]]"	"[['brooding', -2]]"	TRUE	mattei's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious self-examination . 
66	n	0.24254	{}	0	"[['authority', 1]]"	[]	FALSE	only in its final surprising shots does rabbit-proof fence find the authority it's looking for . 
67	n	-0.2357	{}	0	[]	"[['cut', -1]]"	FALSE	"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it . "
68	n	0.18257	{'can': 1}	1	"[['like', 2], ['like', 2]]"	"[['badly', -3]]"	TRUE	" . . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried . "
69	n	-0.83205	{}	0	[]	"[['worse', -3]]"	FALSE	"maybe leblanc thought , "" hey , the movie about the baseball-playing monkey was worse . "" "
70	n	0	{}	0	[]	[]	FALSE	what you expect is just what you get . . . assuming the bar of expectations hasn't been raised above sixth-grade height . 
71	n	0.35355	{}	0	"[['big', 1]]"	[]	FALSE	barry sonnenfeld owes frank the pug big time
72	n	-0.16222	{}	0	"[['glory', 2], ['interesting', 2]]"	"[['problem', -2], ['cut', -1], ['shocking', -2]]"	FALSE	"the biggest problem with roger avary's uproar against the mpaa is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything . "
73	n	0.2357	{}	0	"[['faith', 1]]"	[]	FALSE	so riddled with unanswered questions that it requires gargantuan leaps of faith just to watch it plod along . 
74	n	0	{'should': 1}	1	[]	[]	FALSE	"i approached the usher and said that if she had to sit through it again , she should ask for a raise . "
75	n	1	{}	0	"[['earnest', 2]]"	[]	TRUE	earnest but heavy-handed . 
76	n	-0.35355	{'would': 1}	1	[]	"[['obstacles', -2]]"	TRUE	if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over . 
77	n	0	{}	0	[]	[]	FALSE	"too slow for a younger crowd , too shallow for an older one . "
78	n	0.6396	{}	0	"[['adventures', 2], ['big', 1]]"	[]	TRUE	"there's a reason the studio didn't offer an advance screening . "" the adventures of pluto nash "" is a big time stinker . "
79	n	0.48507	{}	0	"[['joke', 2]]"	[]	FALSE	"a punch line without a premise , a joke built entirely from musty memories of half-dimensional characters . "
80	n	1.23744	{}	0	"[['like', 2], ['care', 2], ['funny', 4]]"	"[['battle', -1]]"	FALSE	"takes one character we don't like and another we don't believe , and puts them into a battle of wills that is impossible to care about and isn't very funny . "
81	n	1.14708	{}	0	"[['won', 3], ['intelligent', 2]]"	[]	FALSE	the things this movie tries to get the audience to buy just won't fly with most intelligent viewers . 
82	n	0	{'would': 1}	1	"[['prospect', 1], ['interest', 1]]"	"[['failure', -2]]"	TRUE	"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest . "
83	n	0	{}	0	"[['charming', 3]]"	"[['alert', -1], ['haunted', -2]]"	FALSE	sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house . 
84	n	0.36515	{}	0	"[['desire', 1], ['please', 1]]"	[]	FALSE	"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve . "
85	n	-0.57735	{}	0	[]	"[['dull', -2]]"	FALSE	"deadly dull , pointless meditation on losers in a gone-to-seed hotel . "
86	n	0	{'can': 1}	1	[]	[]	FALSE	"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment . "
87	n	0.81111	{'can': 1}	1	"[['award', 3], ['honoring', 2]]"	[]	FALSE	one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it off
88	n	0.94491	{}	0	"[['recommended', 2], ['soothing', 3]]"	[]	FALSE	"a movie more to be prescribed than recommended -- as visually bland as a dentist's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms . "
89	n	-0.73721	{'should': 1}	1	[]	"[['lame', -2], ['leave', -1], ['alone', -2]]"	TRUE	"sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler . but never mind all that ; the boobs are fantasti"
90	n	0.19245	{}	0	"[['huge', 1], ['good', 3]]"	"[['bad', -3]]"	FALSE	"the script covers huge , heavy topics in a bland , surfacey way that doesn't offer any insight into why , for instance , good things happen to bad people . "
91	n	0.26726	{'will': 1}	1	"[['perfect', 3]]"	"[['alienation', -2]]"	FALSE	"a portrait of alienation so perfect , it will certainly succeed in alienating most viewers . "
92	n	0.66667	{}	0	"[['better', 2]]"	[]	FALSE	the code talkers deserved better than a hollow tribute . 
93	n	0	{}	0	[]	[]	FALSE	skip the film and buy the philip glass soundtrack cd . 
94	n	0.63246	{}	0	"[['like', 2]]"	[]	FALSE	feels like a cold old man going through the motions . 
95	n	-0.2357	{'can': 1}	1	[]	"[['retreat', -1]]"	FALSE	dignified ceo's meet at a rustic retreat and pee against a tree . can you bear the laughter ? 
96	n	0	{}	0	"[['like', 2]]"	"[['dull', -2]]"	FALSE	"dull and mechanical , kinda like a very goofy museum exhibit"
97	n	-0.16903	{}	0	"[['allow', 1]]"	"[['no', -1], ['no', -1]]"	FALSE	"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity . "
98	n	0.45883	"{'will': 1, 'can': 1}"	2	"[['humorous', 2]]"	[]	FALSE	beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental . 
99	n	0	{}	0	[]	[]	FALSE	has its moments -- and almost as many subplots . 
100	n	0	{}	0	[]	[]	FALSE	"the gags , and the script , are a mixed bag . "
101	n	0.2582	{}	0	"[['fun', 4]]"	"[['awful', -3]]"	FALSE	completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque . 
102	n	-1.41421	{}	0	[]	"[['trouble', -2], ['mess', -2]]"	FALSE	"narratively , trouble every day is a plodding mess . "
103	n	0.22942	{}	0	"[['romance', 2]]"	"[['no', -1]]"	FALSE	there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance . 
104	n	0.50709	{}	0	"[['sparkling', 3]]"	[]	TRUE	"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space . "
105	n	0	{'may': 1}	1	[]	[]	TRUE	"adam sandler's heart may be in the right place , but he needs to pull his head out of his butt"
106	n	0.54772	{}	0	"[['ambitious', 2], ['best', 3]]"	"[['no', -1], ['doubting', -1]]"	TRUE	"there's no doubting that this is a highly ambitious and personal project for egoyan , but it's also one that , next to his best work , feels clumsy and convoluted . "
107	n	0.58835	{}	0	"[['interested', 2], ['fresh', 1]]"	[]	FALSE	"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast . "
108	n	0	{}	0	"[['pretty', 1]]"	"[['pay', -1]]"	FALSE	it's all pretty tame . the most offensive thing about the movie is that hollywood expects people to pay to see it . 
109	n	-0.66667	{}	0	[]	"[['mess', -2]]"	FALSE	the movie is a mess from start to finish . 
110	n	-1.61645	{}	0	[]	"[['trouble', -2], ['foolish', -2], ['victim', -3], ['illness', -2]]"	FALSE	"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness . "
111	n	0.18898	{}	0	"[['pretty', 1]]"	[]	TRUE	"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life . "
112	n	0	{}	0	[]	[]	FALSE	"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar . "
113	n	-0.72932	{'would': 1}	1	[]	"[['lost', -3], ['stupid', -2]]"	TRUE	"the plot is nothing but boilerplate clichés from start to finish , and the script assumes that not only would subtlety be lost on the target audience , but that it's also too stupid to realize that they've already seen this exact same movie a hundred times"
114	n	-1.5	{}	0	[]	"[['dead', -3]]"	FALSE	terminally brain dead production . 
115	n	0	{}	0	[]	[]	FALSE	"some episodes work , some don't . "
116	n	0.86603	{}	0	"[['beautifully', 3]]"	[]	TRUE	beautifully filmed and well acted . . . but admittedly problematic in its narrative specifics . 
117	n	0.89803	{'will': 1}	1	"[['share', 1], ['perfectly', 3], ['clear', 1], ['pretty', 1]]"	"[['no', -1]]"	TRUE	"j . lo will earn her share of the holiday box office pie , although this movie makes one thing perfectly clear : she's a pretty woman , but she's no working girl . "
118	n	-0.17678	{}	0	"[['trust', 1], ['laughs', 1]]"	"[['dead', -3]]"	FALSE	"rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects . "
119	n	-0.54772	{}	0	[]	"[['desperate', -3]]"	TRUE	"not only are the film's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this 'we're -doing-it-for -the-cash' sequel were . "
120	n	0.53452	{}	0	"[['wow', 4]]"	"[['disappointed', -2]]"	TRUE	wow . i have not been this disappointed by a movie in a long time . 
121	n	0	{}	0	[]	[]	TRUE	"off the hook is overlong and not well-acted , but credit writer-producer-director adam watstein with finishing it at all . "
122	n	-0.21822	{}	0	[]	"[['drag', -1]]"	FALSE	it's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding . 
123	n	-0.16903	{}	0	"[['certain', 1]]"	"[['death', -2]]"	TRUE	"watching harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but boyd's film offers little else of consequence . "
124	n	-0.40825	{}	0	"[['curious', 1], ['like', 2]]"	"[['ill', -2], ['bad', -3]]"	FALSE	"it's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget . "
125	n	-0.17678	{}	0	[]	"[['no', -1]]"	FALSE	"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '"
126	n	0	{'will': 1}	1	[]	[]	FALSE	will probably be one of those movies barely registering a blip on the radar screen of 2002 . 
127	n	0.70711	{}	0	"[['funny', 4], ['funny', 4]]"	"[['problem', -2], ['problem', -2]]"	TRUE	"the problem is not that it's all derivative , because plenty of funny movies recycle old tropes . the problem is that van wilder does little that is actually funny with the material . "
128	n	0.75593	{}	0	"[['interesting', 2]]"	[]	FALSE	there's nothing interesting in unfaithful whatsoever . 
129	n	0	{}	0	[]	[]	FALSE	none of this is half as moving as the filmmakers seem to think . 
130	n	0.44721	{}	0	"[['comedy', 1]]"	[]	FALSE	a processed comedy chop suey . 
131	n	0.35921	{}	0	"[['surviving', 2]]"	[]	FALSE	"as spent screen series go , star trek : nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there's nothing to drink . "
132	n	-0.44721	{}	0	[]	"[['fails', -2]]"	FALSE	"fails as a dystopian movie , as a retooling of fahrenheit 451 , and even as a rip-off of the matrix . "
133	n	0	{}	0	"[['kind', 2], ['engage', 1]]"	"[['obnoxious', -3]]"	FALSE	full of the kind of obnoxious chitchat that only self-aware neurotics engage in . 
134	n	0	{}	0	[]	[]	FALSE	"an erotic thriller that's neither too erotic nor very thrilling , either . "
135	n	0.62554	{}	0	"[['like', 2], ['comedy', 1]]"	[]	FALSE	"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes . "
136	n	0	{}	0	"[['like', 2]]"	"[['wasted', -2]]"	FALSE	with its parade of almost perpetually wasted characters . . . margarita feels like a hazy high that takes too long to shake . 
137	n	-0.4714	{}	0	[]	"[['escape', -1], ['avoid', -1]]"	FALSE	"if you value your time and money , find an escape clause and avoid seeing this trite , predictable rehash . "
138	n	1.07763	{}	0	"[['capable', 1], ['inspired', 2], ['good', 3]]"	[]	TRUE	"the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions , but the spell they cast isn't the least bit mesmerizing . "
139	n	0.25	{}	0	"[['comedy', 1]]"	[]	FALSE	everything is pegged into the groove of a new york dating comedy with 'issues' to simplify . 
140	n	-0.28868	{}	0	"[['comedy', 1]]"	"[['dishonest', -2]]"	FALSE	a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff . 
141	n	-0.1857	{}	0	"[['comedy', 1]]"	"[['ruins', -2]]"	FALSE	"the cameo-packed , m : i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise . . . then mike myers shows up and ruins everything . "
142	n	-0.17961	{}	0	[]	"[['silly', -1]]"	TRUE	"it comes off as so silly that you wouldn't be surprised if ba , murdock and rest of the a-team were seen giving chase in a black and red van . "
143	n	0.57735	{}	0	"[['care', 2]]"	[]	FALSE	the 50-something lovebirds are too immature and unappealing to care about . 
144	n	1.80839	{'will': 1}	1	"[['genial', 3], ['dearly', 3], ['hoping', 2], ['rich', 2], ['promise', 1]]"	[]	TRUE	"so genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen . it never is , not fully . "
145	n	0.41703	{}	0	"[['hero', 2], ['motivated', 2]]"	"[['restless', -2]]"	FALSE	"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . "
146	n	0.35921	{}	0	"[['rich', 2]]"	[]	FALSE	"what with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time . "
147	n	0	{}	0	[]	[]	FALSE	one lousy movie . 
148	n	0.47434	{'can': 1}	1	"[['huge', 1], ['clean', 2], ['earnest', 2]]"	"[['cut', -1], ['no', -1]]"	FALSE	"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film's creepy , clean-cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge . "
149	n	0	{}	0	[]	[]	FALSE	"plodding , peevish and gimmicky . "
150	n	0.8528	{'might': 1}	1	"[['fun', 4]]"	[]	TRUE	"the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox . "
151	n	0	{}	0	[]	[]	FALSE	oozes condescension from every pore . 
152	n	0	{}	0	[]	[]	FALSE	"solaris "" is a shapeless inconsequential move relying on the viewer to do most of the work . "
153	n	-1.21268	{}	0	[]	"[['no', -1], ['no', -1], ['hard', -1], ['cynicism', -2]]"	FALSE	"the direction , by george hickenlooper , has no snap to it , no wiseacre crackle or hard-bitten cynicism . "
154	n	-1.41421	{}	0	[]	"[['dull', -2]]"	FALSE	 . . . hypnotically dull . 
155	n	0.89443	"{'would': 1, 'should': 1}"	2	"[['terrific', 4]]"	[]	FALSE	"though this saga would be terrific to read about , it is dicey screen material that only a genius should touch . "
156	n	0.24254	{}	0	"[['laughs', 1]]"	[]	FALSE	it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense . 
157	n	-0.67612	{}	0	"[['like', 2], ['want', 1]]"	"[['awful', -3], ['worse', -3], ['pay', -1]]"	FALSE	"an awful lot like one of [spears'] music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it . "
158	n	0	{}	0	[]	[]	FALSE	"confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it . "
159	n	0	{}	0	"[['want', 1]]"	"[['hard', -1]]"	FALSE	"[h]ad i suffered and bled on the hard ground of ia drang , i'd want something a bit more complex than we were soldiers to be remembered by . "
160	n	0	{}	0	[]	[]	TRUE	"occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma . "
161	n	0.70711	{'may': 1}	1	"[['like', 2], ['big', 1]]"	[]	FALSE	it may play well as a double feature with mainstream foreign mush like my big fat greek wedding
162	n	0.21822	{}	0	"[['reach', 1]]"	[]	FALSE	"by the time you reach the finale , you're likely wondering why you've been watching all this strutting and posturing . "
163	n	-1.51186	{}	0	[]	"[['dubious', -2], ['dull', -2]]"	FALSE	"journalistically dubious , inept and often lethally dull . "
164	n	-0.37796	{}	0	[]	"[['murderer', -2]]"	FALSE	putting the primitive murderer inside a high-tech space station unleashes a pandora's box of special effects that run the gamut from cheesy to cheesier to cheesiest . 
165	n	0	{}	0	"[['best', 3]]"	"[['worst', -3]]"	FALSE	" at its best , it's black hawk down with more heart . at its worst , it's rambo- meets-john ford . "
166	n	0	{}	0	[]	[]	FALSE	exactly what you'd expect from a guy named kaos . 
167	n	0	{}	0	[]	[]	FALSE	calculated swill . 
168	n	-0.7746	{}	0	[]	"[['bad', -3]]"	FALSE	this movie . . . doesn't deserve the energy it takes to describe how bad it is . 
169	n	0	{}	0	[]	[]	FALSE	"with or without ballast tanks , k-19 sinks to a harrison ford low . "
170	n	0.62554	{}	0	"[['importance', 2], ['earnest', 2]]"	"[['hard', -1]]"	FALSE	director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two . 
171	n	-1.38675	{'might': 1}	1	[]	"[['shocked', -2], ['boring', -3]]"	FALSE	you might be shocked to discover that seinfeld's real life is boring . 
172	n	0	{}	0	"[['fresh', 1]]"	"[['waste', -1]]"	TRUE	"it's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time . "
173	n	0.65465	{'can': 1}	1	"[['charm', 3]]"	[]	TRUE	walsh can't quite negotiate the many inconsistencies in janice's behavior or compensate for them by sheer force of charm . 
174	n	-0.63246	{}	0	[]	"[['tired', -2]]"	FALSE	this 10th film in the series looks and feels tired . 
175	n	0	{}	0	[]	[]	FALSE	"it leers , offering next to little insight into its intriguing subject . "
176	n	-1.21268	{}	0	"[['growing', 1]]"	"[['frustrated', -2], ['detached', -1], ['abhorrent', -3]]"	FALSE	i found myself growing more and more frustrated and detached as vincent became more and more abhorrent . 
